canny,fft,result
1473.94806289,-4.61754151045,0
945.97305898,0.242281562291,0
1160.79290481,-0.191728657921,0
4430.27760892,2.70692237617,0
3910.20135378,-19.6652404812,0
3327.91210264,-9.97713164421,0
2416.01077427,-3.4110594819,0
1263.56282553,-6.78426369286,0
5208.32233494,-13.1269229536,0
2402.71650877,-8.43742594912,0
2001.90507759,-15.6909278709,0
2291.71046421,-0.699910798087,0
619.549075527,-4.589047992,0
4768.66872995,-10.1762623587,0
6997.11070786,-7.00206721417,0
2826.53947235,-0.708172108168,0
6839.96074545,18.9039354113,0
2864.16857338,0.879343278133,0
6058.44068453,-3.61293859315,0
4913.44142669,-9.57791674816,0
2204.69529794,3.18972989212,0
5593.90019682,8.84134321659,0
2645.57758334,-6.33145053372,0
264.229391992,-2.71509501043,0
4526.36552455,8.47868408814,0
3665.28861314,-6.36494674178,0
1132.69194099,-2.18873700913,0
8119.37818584,15.1206039976,0
4163.82207246,-6.58106808152,0
5340.54300567,-7.46954443685,0
2829.60361961,3.5283634204,0
2015.04467153,0.545804337801,0
5148.87363948,-0.805294161346,0
1743.00476502,4.70626490819,0
702.354343156,-0.239850550501,0
6732.66884074,11.2112371057,0
2389.72866079,2.92844807345,0
1059.98301718,-0.394184041674,0
3684.80681167,-7.76987833212,0
2884.11254639,0.311861171774,0
2631.76293525,-2.00385904832,0
5229.0999963,-3.62719155471,0
6373.21250648,15.1304636246,0
1291.2943847,-1.36859850981,0
1891.00093978,-10.0598689631,0
4418.10052223,-7.1224390698,0
1048.46054085,-1.11228662901,0
6457.52646907,-0.480647422397,0
3370.77295081,-8.30168971736,0
5124.32533384,-5.03919690703,0
5626.98986186,-6.58135039274,0
1532.35670956,2.90041300377,0
1675.72091171,-0.147965640561,0
4478.26810285,-6.72465593941,0
6564.77044678,-5.14657573363,0
4051.16016899,-11.4776865014,0
6684.83309563,-6.52093059288,0
1430.73266656,84.2870648962,0
3018.32549552,-7.22375758791,0
3485.7139018,-11.1261943263,0
4693.17359536,-7.22603549372,0
905.054318178,-5.13979606107,0
7563.31440795,-0.746356979099,0
647.611616348,0.431853726713,0
2498.00843336,-15.969477405,0
4850.30564548,-10.1056987184,0
3947.57090462,-14.1646374587,0
2583.57954282,-3.23244310046,0
6058.4273598,16.7296086297,0
4250.44080568,-19.5170988594,0
4179.41681775,2.24942168381,0
4135.0143173,-6.33499572029,0
3277.37648915,-7.30011390419,0
4255.96802818,-13.3291160861,0
4092.11609658,-3.0790732132,0
7476.20463667,-3.09479381994,0
4790.54580198,-7.73647647364,0
2844.28850093,-12.222299932,0
2133.40589523,-7.81570048951,0
3123.54387201,-1.80490857314,0
2653.88640154,0.43860603926,0
400.929912055,-8.20119612686,0
6643.44090251,3.32645229246,0
9020.32242091,4.30672407767,0
3249.76682749,-8.65962589874,0
3400.67264154,-3.59023647594,0
1051.73999621,-1.47366692532,0
5858.95540828,-4.03191880403,0
2428.07988437,-1.3083843834,0
8162.9683674,20.2313150339,0
6132.20513789,-6.88237875991,0
2180.30085873,-12.9971368831,0
4214.69578201,-4.81229331413,0
904.961820068,-1.489005216,0
4912.71683118,-9.95623274097,0
6565.94302834,-3.78744689189,0
2724.3295414,-2.25773749207,0
4265.29744114,-2.15290856622,0
10040.9404513,20.8820159452,0
1678.3577368,1.24793196082,0
3926.42213774,-12.279928846,0
3332.42499274,-7.38625745015,0
808.620160008,-0.549107150038,0
8328.23423672,18.8755048982,0
3152.31817035,-5.58334655229,0
2850.24525896,2.48044748158,0
7193.43778182,-4.82717588311,0
2555.64770693,7.513791081,0
6425.62783072,-3.64149592344,0
4150.32224017,-7.32995101463,0
2941.64473162,-5.22094833817,0
2493.04610726,3.80275912904,0
6662.97623119,-7.82871707694,0
2013.54035856,-6.22832289293,0
7867.06968574,20.5061617574,0
10604.1722499,24.5353036811,0
4055.40244455,86.0267239943,0
3967.8726411,82.8836117664,0
2351.43501339,83.309721738,0
1639.56355846,1.08288487309,0
4569.97482495,-10.1190278982,0
3001.22866426,0.763297228859,0
4806.79553584,-5.10802417808,0
4201.46682796,3.02815737316,0
882.030863719,-1.57402290569,0
1356.89849564,-0.901934912607,0
2906.7817414,-11.6060426694,0
2422.73847435,-8.15671428834,0
3022.78500753,-0.851624575611,0
1618.81443674,3.26092132433,0
7045.53667707,-6.30255492236,0
937.66844214,83.2382355144,0
2678.68635432,-12.2874547107,0
3754.15338894,83.1321192236,0
1350.63850395,-1.2341905708,0
1142.23245738,2.16251992176,0
2688.88387733,-6.39259472187,0
4251.32266719,-12.0610076616,0
4095.90224571,-6.90977130261,0
1102.71283035,-6.23490686709,0
5568.89865457,86.5168176811,0
5376.15532544,-10.467256823,0
1172.45755714,-6.77449291672,0
905.96807586,-3.04220307219,0
1344.53014598,-2.92364138501,0
761.205137855,-2.34070342973,0
944.093834607,-1.32053488667,0
132.75133587,-1.84099503152,0
3272.5157748,-1.98101706433,0
2979.97913983,-8.26144857829,0
4921.28572699,-9.83316704518,0
789.411911425,1.76144932623,0
2251.26120751,0.101513990781,0
6361.68219254,-7.18806503206,0
3275.49662694,4.29066430503,0
2391.53179611,-4.02343963143,0
1114.59093669,-0.483457956845,0
1843.92356141,-5.79328248041,0
374.104786615,-5.62598710862,0
3818.29750823,-9.43635973357,0
3352.88892581,-15.8573885754,0
1822.28053715,-0.200399966741,0
4563.5234738,-14.966190577,0
3918.09904637,-7.63448543734,0
3840.69536098,-8.52143008914,0
10045.4645262,24.9667188088,0
11964.0955835,25.5714792927,0
2206.93493326,-8.42624022699,0
1511.35204082,1.318560543,0
4136.29300733,-14.2121114934,0
1617.8980284,-1.35904863149,0
10813.1061392,21.9368155125,0
1583.72639765,-2.52255601648,0
3893.26409698,0.121000189054,0
3793.03816305,-5.79280783937,0
2134.15481742,-8.57124070677,0
1700.38991398,-6.00197125202,0
3693.70268168,-20.9776453264,0
4457.20371959,-6.90758013023,0
4784.04613677,-3.87358482682,0
847.720618308,-15.573312693,0
4066.75994465,-9.67238938669,0
2273.50869968,0.903207772102,0
9442.99430713,6.31848902377,0
1892.04730044,1.18827204822,0
730.700861471,4.03076374212,0
11494.2533022,27.4086769211,0
10006.0573813,18.6858702433,0
5824.1621072,-10.3482308976,0
1477.20523274,2.57640723132,0
7871.35919176,20.6127055762,0
8926.74849283,23.2191892949,0
2259.76167891,-3.13563909993,0
2641.75397501,83.9897311882,0
4502.35988796,-3.96522725862,0
1410.23790479,2.34815682826,0
829.655256332,-1.44209325261,0
5734.25303253,-5.62894969711,0
2403.39183111,5.29643585786,0
1446.84096827,-6.20088576459,0
1009.90956981,3.01962482749,0
6199.51952243,-3.62884332367,0
2995.39746665,0.548787767354,0
2906.788682,1.92327419402,0
3742.78555157,0.871776327378,0
5349.10600937,-8.59512919214,0
4885.53657329,-5.80145010805,0
7634.17199201,19.7510984957,0
3216.47018977,-6.56134333424,0
4109.08596505,-9.00935792638,0
5093.98645687,-5.25864801306,0
3709.82998929,-1.62181554409,0
1895.8804946,-7.79429274478,0
2467.53670201,-2.14666860495,0
4410.53496355,-8.14497982461,0
3489.22512687,1.25437144155,0
3565.26151685,84.8426542284,0
1336.69554123,-1.87976521554,0
3356.44226302,-8.95961218024,0
2008.49252541,3.58165749014,0
3068.17120935,2.38323622931,0
1621.81488893,-8.78048714381,0
1888.39151303,-2.71479065212,0
738.721368443,-1.32930463814,0
3985.61514551,-4.95698353812,0
3683.28314995,-0.14515335817,0
6807.58442079,-1.14602203738,0
398.328409474,-4.93021832695,0
1641.44772266,-16.8834895052,0
1300.67748096,-10.412060438,0
3186.22677126,-14.7471078707,0
4451.35937176,-7.01168826906,0
1517.30560624,1.02400578003,0
1297.57012049,79.5937011357,0
1566.72333643,0.129237875563,0
1719.59505422,-7.79436514507,0
2341.26492757,-7.81317150138,0
3410.81886858,1.37192080635,0
2089.86670107,-4.12667554646,0
622.703007408,-7.42273028223,0
3409.0340633,-1.01454197894,0
2904.00933568,-9.71353838471,0
3371.12642205,-11.2506881088,0
4308.9015608,-8.25261268595,0
3496.75168796,1.76136044227,0
7526.32797841,-0.664294853125,0
2964.88933315,84.7846028907,0
4360.210761,-14.6999639293,0
2534.41697472,-8.79862767812,0
3739.79287545,-14.890218288,0
3818.59130273,-11.5979634094,0
4249.88162403,85.8060047627,0
2856.61792727,1.56140109153,0
4518.14789247,-11.760040308,0
7515.42948577,-2.80404955714,0
3780.14548895,-7.53309510644,0
496.732770702,-0.885136400367,0
2666.55230577,-5.32900030624,0
1627.06654424,0.915717248793,0
4923.29395779,11.4209995163,0
1355.48174388,2.61007551579,0
2276.19203112,2.19630005417,0
448.266068011,3.39326771761,0
3579.9618423,0.993981297773,0
3299.63597906,83.3387807262,0
8174.44061242,20.1151078522,0
